id,scientific_name,common_name,image_url,taxa_url,observer_name,observation_year,observation_url
704775,Angelina rufescens,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/110288181/medium.jpeg,https://www.inaturalist.org/taxa/704775,lynath,2025,https://www.inaturalist.org/observations/260536051
955949,Calycina citrina,Yellow Fairy Cups,https://inaturalist-open-data.s3.amazonaws.com/photos/235404053/medium.jpeg,https://www.inaturalist.org/taxa/955949,nicolasdperez,2025,https://www.inaturalist.org/observations/260310974
194476,Cerrena unicolor,Mossy Maze Polypore,https://static.inaturalist.org/photos/14764926/medium.jpeg,https://www.inaturalist.org/taxa/194476,gabriele_lagrasta,2025,https://www.inaturalist.org/observations/260515475
56318,Coprinellus micaceus,mica cap,https://static.inaturalist.org/photos/200982305/medium.jpg,https://www.inaturalist.org/taxa/56318,reyanshjogi,2025,https://www.inaturalist.org/observations/260550752
499999,Daedaleopsis septentrionalis,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/22632505/medium.jpeg,https://www.inaturalist.org/taxa/499999,ekaterinavoinova,2025,https://www.inaturalist.org/observations/258129838
879877,Exidia crenata,American Amber Jelly Fungus,https://inaturalist-open-data.s3.amazonaws.com/photos/32388479/medium.jpg,https://www.inaturalist.org/taxa/879877,megancahoon,2025,https://www.inaturalist.org/observations/260540270
127510,Fomes fomentarius,Hoof Fungus,https://inaturalist-open-data.s3.amazonaws.com/photos/11787994/medium.jpeg,https://www.inaturalist.org/taxa/127510,lignator,2025,https://www.inaturalist.org/observations/260538229
959326,Fuscopostia fragilis,brown-staining cheese polypore,https://inaturalist-open-data.s3.amazonaws.com/photos/52511463/medium.jpg,https://www.inaturalist.org/taxa/959326,davgarrigues,2025,https://www.inaturalist.org/observations/260472302
63274,Ganoderma tsugae,hemlock varnish shelf,https://inaturalist-open-data.s3.amazonaws.com/photos/20032392/medium.jpeg,https://www.inaturalist.org/taxa/63274,mariejk,2025,https://www.inaturalist.org/observations/260459820
194307,Hebeloma crustuliniforme,Poison Pie,https://inaturalist-open-data.s3.amazonaws.com/photos/40893558/medium.jpeg,https://www.inaturalist.org/taxa/194307,mclarkia,2025,https://www.inaturalist.org/observations/260436668
1038656,Hydnoporia olivacea,brown-toothed crust fungus,https://inaturalist-open-data.s3.amazonaws.com/photos/177713999/medium.jpg,https://www.inaturalist.org/taxa/1038656,izafarr,2025,https://www.inaturalist.org/observations/260549432
130203,Hypholoma lateritium,Brick Cap,https://inaturalist-open-data.s3.amazonaws.com/photos/13072342/medium.jpeg,https://www.inaturalist.org/taxa/130203,daisy79154,2025,https://www.inaturalist.org/observations/260410549
127021,Inonotus obliquus,chaga,https://static.inaturalist.org/photos/96195428/medium.jpg,https://www.inaturalist.org/taxa/127021,maximion,2025,https://www.inaturalist.org/observations/260537776
1514175,Irpiciporus mollis,N/A,https://static.inaturalist.org/photos/29659816/medium.jpg,https://www.inaturalist.org/taxa/1514175,dalton28038,2025,https://www.inaturalist.org/observations/260508643
68309,Panellus stipticus,Luminescent Panellus,https://inaturalist-open-data.s3.amazonaws.com/photos/178409678/medium.jpeg,https://www.inaturalist.org/taxa/68309,potatocthulhu,2025,https://www.inaturalist.org/observations/260548821
605606,Phellinus nigricans,N/A,https://static.inaturalist.org/photos/49678316/medium.jpeg,https://www.inaturalist.org/taxa/605606,snsergeevna,2025,https://www.inaturalist.org/observations/260546137
