scientific_name,common_name,image_url,taxa_url
Angelina rufescens,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/463140339/medium.jpg,https://www.inaturalist.org/taxa/704775
Angelina rufescens,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/458171920/medium.jpg,https://www.inaturalist.org/taxa/704775
Angelina rufescens,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/452835940/medium.jpeg,https://www.inaturalist.org/taxa/704775
Calycina citrina,Yellow Fairy Cups,https://inaturalist-open-data.s3.amazonaws.com/photos/467455704/medium.jpg,https://www.inaturalist.org/taxa/955949
Calycina citrina,Yellow Fairy Cups,https://inaturalist-open-data.s3.amazonaws.com/photos/467442316/medium.jpeg,https://www.inaturalist.org/taxa/955949
Calycina citrina,Yellow Fairy Cups,https://inaturalist-open-data.s3.amazonaws.com/photos/467413115/medium.jpeg,https://www.inaturalist.org/taxa/955949
Cerrena unicolor,Mossy Maze Polypore,https://inaturalist-open-data.s3.amazonaws.com/photos/467751112/medium.jpg,https://www.inaturalist.org/taxa/194476
Cerrena unicolor,Mossy Maze Polypore,https://inaturalist-open-data.s3.amazonaws.com/photos/467428408/medium.jpeg,https://www.inaturalist.org/taxa/194476
Cerrena unicolor,Mossy Maze Polypore,https://static.inaturalist.org/photos/467782876/medium.jpeg,https://www.inaturalist.org/taxa/194476
Coprinellus micaceus,mica cap,https://static.inaturalist.org/photos/467854818/medium.jpeg,https://www.inaturalist.org/taxa/56318
Coprinellus micaceus,mica cap,https://inaturalist-open-data.s3.amazonaws.com/photos/467270502/medium.jpeg,https://www.inaturalist.org/taxa/56318
Coprinellus micaceus,mica cap,https://inaturalist-open-data.s3.amazonaws.com/photos/467331546/medium.jpg,https://www.inaturalist.org/taxa/56318
Daedaleopsis septentrionalis,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/451286847/medium.jpeg,https://www.inaturalist.org/taxa/499999
Daedaleopsis septentrionalis,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/434972574/medium.jpeg,https://www.inaturalist.org/taxa/499999
Exidia crenata,American Amber Jelly Fungus,https://static.inaturalist.org/photos/467837294/medium.jpg,https://www.inaturalist.org/taxa/879877
Exidia crenata,American Amber Jelly Fungus,https://inaturalist-open-data.s3.amazonaws.com/photos/467741554/medium.jpeg,https://www.inaturalist.org/taxa/879877
Exidia crenata,American Amber Jelly Fungus,https://static.inaturalist.org/photos/467729154/medium.jpg,https://www.inaturalist.org/taxa/879877
Fomes fomentarius,Hoof Fungus,https://static.inaturalist.org/photos/467821442/medium.jpeg,https://www.inaturalist.org/taxa/127510
Fomes fomentarius,Hoof Fungus,https://inaturalist-open-data.s3.amazonaws.com/photos/467840121/medium.jpg,https://www.inaturalist.org/taxa/127510
Fomes fomentarius,Hoof Fungus,https://inaturalist-open-data.s3.amazonaws.com/photos/467663215/medium.jpeg,https://www.inaturalist.org/taxa/127510
Fuscopostia fragilis,brown-staining cheese polypore,https://static.inaturalist.org/photos/465395990/medium.jpg,https://www.inaturalist.org/taxa/959326
Fuscopostia fragilis,brown-staining cheese polypore,https://inaturalist-open-data.s3.amazonaws.com/photos/464403449/medium.jpg,https://www.inaturalist.org/taxa/959326
Fuscopostia fragilis,brown-staining cheese polypore,https://inaturalist-open-data.s3.amazonaws.com/photos/459443304/medium.jpeg,https://www.inaturalist.org/taxa/959326
Ganoderma tsugae,hemlock varnish shelf,https://inaturalist-open-data.s3.amazonaws.com/photos/466843965/medium.jpg,https://www.inaturalist.org/taxa/63274
Ganoderma tsugae,hemlock varnish shelf,https://inaturalist-open-data.s3.amazonaws.com/photos/466295975/medium.jpg,https://www.inaturalist.org/taxa/63274
Ganoderma tsugae,hemlock varnish shelf,https://inaturalist-open-data.s3.amazonaws.com/photos/465433674/medium.jpg,https://www.inaturalist.org/taxa/63274
Hebeloma crustuliniforme,Poison Pie,https://static.inaturalist.org/photos/465731543/medium.jpeg,https://www.inaturalist.org/taxa/194307
Hebeloma crustuliniforme,Poison Pie,https://inaturalist-open-data.s3.amazonaws.com/photos/465027934/medium.jpg,https://www.inaturalist.org/taxa/194307
Hebeloma crustuliniforme,Poison Pie,https://inaturalist-open-data.s3.amazonaws.com/photos/461964877/medium.jpg,https://www.inaturalist.org/taxa/194307
Hydnoporia olivacea,brown-toothed crust fungus,https://inaturalist-open-data.s3.amazonaws.com/photos/467836105/medium.jpg,https://www.inaturalist.org/taxa/1038656
Hydnoporia olivacea,brown-toothed crust fungus,https://inaturalist-open-data.s3.amazonaws.com/photos/467670494/medium.jpeg,https://www.inaturalist.org/taxa/1038656
Hydnoporia olivacea,brown-toothed crust fungus,https://inaturalist-open-data.s3.amazonaws.com/photos/467665916/medium.jpg,https://www.inaturalist.org/taxa/1038656
Hypholoma lateritium,Brick Cap,https://static.inaturalist.org/photos/466174782/medium.jpeg,https://www.inaturalist.org/taxa/130203
Hypholoma lateritium,Brick Cap,https://inaturalist-open-data.s3.amazonaws.com/photos/466347485/medium.jpeg,https://www.inaturalist.org/taxa/130203
Hypholoma lateritium,Brick Cap,https://inaturalist-open-data.s3.amazonaws.com/photos/465930667/medium.jpg,https://www.inaturalist.org/taxa/130203
Inonotus obliquus,chaga,https://inaturalist-open-data.s3.amazonaws.com/photos/467842060/medium.jpg,https://www.inaturalist.org/taxa/127021
Inonotus obliquus,chaga,https://inaturalist-open-data.s3.amazonaws.com/photos/467613374/medium.jpeg,https://www.inaturalist.org/taxa/127021
Inonotus obliquus,chaga,https://inaturalist-open-data.s3.amazonaws.com/photos/467613322/medium.jpeg,https://www.inaturalist.org/taxa/127021
Irpiciporus mollis,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/467635517/medium.jpg,https://www.inaturalist.org/taxa/1514175
