id,scientific_name,common_name,image_url,taxa_url,observer_name,observation_year,observation_url
972793,Apioperdon pyriforme,Pear-shaped Puffball,https://inaturalist-open-data.s3.amazonaws.com/photos/467831017/medium.jpeg,https://www.inaturalist.org/taxa/972793,maiglocke,2025,https://www.inaturalist.org/observations/260500185
972793,Apioperdon pyriforme,Pear-shaped Puffball,https://static.inaturalist.org/photos/467812380/medium.jpg,https://www.inaturalist.org/taxa/972793,fungiforeva,2025,https://www.inaturalist.org/observations/260489685
972793,Apioperdon pyriforme,Pear-shaped Puffball,https://inaturalist-open-data.s3.amazonaws.com/photos/467859335/medium.jpeg,https://www.inaturalist.org/taxa/972793,martinw13,2025,https://www.inaturalist.org/observations/260514842
211220,Berkleasmium concinnum,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/455785388/medium.jpg,https://www.inaturalist.org/taxa/211220,emmatrue,2024,https://www.inaturalist.org/observations/254457921
211220,Berkleasmium concinnum,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/442273447/medium.jpeg,https://www.inaturalist.org/taxa/211220,david_chapados,2024,https://www.inaturalist.org/observations/247610148
211220,Berkleasmium concinnum,N/A,https://inaturalist-open-data.s3.amazonaws.com/photos/412876067/medium.jpeg,https://www.inaturalist.org/taxa/211220,ethancrenson,2024,https://www.inaturalist.org/observations/232400978
955949,Calycina citrina,Yellow Fairy Cups,https://inaturalist-open-data.s3.amazonaws.com/photos/467455704/medium.jpg,https://www.inaturalist.org/taxa/955949,nicolasdperez,2025,https://www.inaturalist.org/observations/260310974
955949,Calycina citrina,Yellow Fairy Cups,https://inaturalist-open-data.s3.amazonaws.com/photos/467442316/medium.jpeg,https://www.inaturalist.org/taxa/955949,crowntipped,2025,https://www.inaturalist.org/observations/260304517
955949,Calycina citrina,Yellow Fairy Cups,https://inaturalist-open-data.s3.amazonaws.com/photos/467413115/medium.jpeg,https://www.inaturalist.org/taxa/955949,janmar,2025,https://www.inaturalist.org/observations/260290099
194476,Cerrena unicolor,Mossy Maze Polypore,https://inaturalist-open-data.s3.amazonaws.com/photos/467751112/medium.jpg,https://www.inaturalist.org/taxa/194476,mattunitis,2025,https://www.inaturalist.org/observations/260459696
194476,Cerrena unicolor,Mossy Maze Polypore,https://inaturalist-open-data.s3.amazonaws.com/photos/467428408/medium.jpeg,https://www.inaturalist.org/taxa/194476,limnoglacialis,2025,https://www.inaturalist.org/observations/260297154
194476,Cerrena unicolor,Mossy Maze Polypore,https://static.inaturalist.org/photos/467782876/medium.jpeg,https://www.inaturalist.org/taxa/194476,aino23,2025,https://www.inaturalist.org/observations/260475432
350663,Diatrype stigma,common tarcrust fungus,https://inaturalist-open-data.s3.amazonaws.com/photos/467867291/medium.jpeg,https://www.inaturalist.org/taxa/350663,denniskent,2025,https://www.inaturalist.org/observations/260518710
350663,Diatrype stigma,common tarcrust fungus,https://inaturalist-open-data.s3.amazonaws.com/photos/467647883/medium.jpg,https://www.inaturalist.org/taxa/350663,rhsh,2025,https://www.inaturalist.org/observations/260407980
350663,Diatrype stigma,common tarcrust fungus,https://inaturalist-open-data.s3.amazonaws.com/photos/466238275/medium.jpeg,https://www.inaturalist.org/taxa/350663,cheriecornmesser,2025,https://www.inaturalist.org/observations/259698048
55568,Exidia glandulosa,Black Witches' Butter,https://inaturalist-open-data.s3.amazonaws.com/photos/467695347/medium.jpeg,https://www.inaturalist.org/taxa/55568,cheriecornmesser,2025,https://www.inaturalist.org/observations/260432795
55568,Exidia glandulosa,Black Witches' Butter,https://inaturalist-open-data.s3.amazonaws.com/photos/467645114/medium.jpeg,https://www.inaturalist.org/taxa/55568,janmar,2025,https://www.inaturalist.org/observations/260406652
55568,Exidia glandulosa,Black Witches' Butter,https://static.inaturalist.org/photos/467486463/medium.jpg,https://www.inaturalist.org/taxa/55568,ajphip,2025,https://www.inaturalist.org/observations/260330630
127510,Fomes fomentarius,Hoof Fungus,https://static.inaturalist.org/photos/467821126/medium.jpg,https://www.inaturalist.org/taxa/127510,alyonako,2025,https://www.inaturalist.org/observations/260494689
127510,Fomes fomentarius,Hoof Fungus,https://static.inaturalist.org/photos/467821442/medium.jpeg,https://www.inaturalist.org/taxa/127510,alona31168,2025,https://www.inaturalist.org/observations/260494838
