scientific_name,common_name,image_url,taxa_url
Lobaria pulmonaria,Tree Lungwort,https://static.inaturalist.org/photos/467883317/medium.jpg,https://www.inaturalist.org/taxa/48711
Lobaria pulmonaria,Tree Lungwort,https://inaturalist-open-data.s3.amazonaws.com/photos/467698387/medium.jpeg,https://www.inaturalist.org/taxa/48711
Lobaria pulmonaria,Tree Lungwort,https://static.inaturalist.org/photos/467743343/medium.jpeg,https://www.inaturalist.org/taxa/48711
Flammulina velutipes,Velvet Foot,https://static.inaturalist.org/photos/467832971/medium.jpeg,https://www.inaturalist.org/taxa/67594
Flammulina velutipes,Velvet Foot,https://inaturalist-open-data.s3.amazonaws.com/photos/467812854/medium.jpeg,https://www.inaturalist.org/taxa/67594
Flammulina velutipes,Velvet Foot,https://inaturalist-open-data.s3.amazonaws.com/photos/467656602/medium.jpg,https://www.inaturalist.org/taxa/67594
Trichaptum biforme,violet-toothed polypore,https://static.inaturalist.org/photos/467894642/medium.jpg,https://www.inaturalist.org/taxa/125705
Trichaptum biforme,violet-toothed polypore,https://inaturalist-open-data.s3.amazonaws.com/photos/467896388/medium.jpg,https://www.inaturalist.org/taxa/125705
Trichaptum biforme,violet-toothed polypore,https://inaturalist-open-data.s3.amazonaws.com/photos/467803228/medium.jpeg,https://www.inaturalist.org/taxa/125705
Stereum complicatum,crowded parchment,https://inaturalist-open-data.s3.amazonaws.com/photos/467864668/medium.jpg,https://www.inaturalist.org/taxa/196842
Stereum complicatum,crowded parchment,https://inaturalist-open-data.s3.amazonaws.com/photos/467740886/medium.jpeg,https://www.inaturalist.org/taxa/196842
Stereum complicatum,crowded parchment,https://inaturalist-open-data.s3.amazonaws.com/photos/467697444/medium.jpeg,https://www.inaturalist.org/taxa/196842
Pleurotus ostreatus,Oyster Mushroom,https://static.inaturalist.org/photos/467829701/medium.jpeg,https://www.inaturalist.org/taxa/48494
Pleurotus ostreatus,Oyster Mushroom,https://inaturalist-open-data.s3.amazonaws.com/photos/467827960/medium.jpeg,https://www.inaturalist.org/taxa/48494
Pleurotus ostreatus,Oyster Mushroom,https://inaturalist-open-data.s3.amazonaws.com/photos/467804354/medium.jpeg,https://www.inaturalist.org/taxa/48494
Daedaleopsis confragosa,Thin-walled Maze Polypore,https://inaturalist-open-data.s3.amazonaws.com/photos/467851435/medium.jpeg,https://www.inaturalist.org/taxa/124102
Cerrena unicolor,Mossy Maze Polypore,https://inaturalist-open-data.s3.amazonaws.com/photos/467751112/medium.jpg,https://www.inaturalist.org/taxa/194476
Cerrena unicolor,Mossy Maze Polypore,https://inaturalist-open-data.s3.amazonaws.com/photos/467428408/medium.jpeg,https://www.inaturalist.org/taxa/194476
Cerrena unicolor,Mossy Maze Polypore,https://static.inaturalist.org/photos/467782876/medium.jpeg,https://www.inaturalist.org/taxa/194476
Trametes versicolor,turkey-tail,https://static.inaturalist.org/photos/467928091/medium.jpg,https://www.inaturalist.org/taxa/54134
Trametes versicolor,turkey-tail,https://inaturalist-open-data.s3.amazonaws.com/photos/467898016/medium.jpg,https://www.inaturalist.org/taxa/54134
Trametes versicolor,turkey-tail,https://inaturalist-open-data.s3.amazonaws.com/photos/467913898/medium.jpeg,https://www.inaturalist.org/taxa/54134
Pseudohydnum gelatinosum,Toothed Jelly Fungus,https://inaturalist-open-data.s3.amazonaws.com/photos/467752514/medium.jpg,https://www.inaturalist.org/taxa/54164
Pseudohydnum gelatinosum,Toothed Jelly Fungus,https://static.inaturalist.org/photos/467782071/medium.jpeg,https://www.inaturalist.org/taxa/54164
Pseudohydnum gelatinosum,Toothed Jelly Fungus,https://static.inaturalist.org/photos/467260068/medium.jpg,https://www.inaturalist.org/taxa/54164
Dacrymyces chrysospermus,Orange Jelly Spot,https://inaturalist-open-data.s3.amazonaws.com/photos/467918866/medium.jpg,https://www.inaturalist.org/taxa/118028
Dacrymyces chrysospermus,Orange Jelly Spot,https://static.inaturalist.org/photos/467725395/medium.jpg,https://www.inaturalist.org/taxa/118028
Dacrymyces chrysospermus,Orange Jelly Spot,https://inaturalist-open-data.s3.amazonaws.com/photos/467731947/medium.jpg,https://www.inaturalist.org/taxa/118028
Fomitopsis mounceae,Northern Red Belt,https://static.inaturalist.org/photos/467724134/medium.jpeg,https://www.inaturalist.org/taxa/877361
Fomitopsis mounceae,Northern Red Belt,https://inaturalist-open-data.s3.amazonaws.com/photos/467747602/medium.jpeg,https://www.inaturalist.org/taxa/877361
Fomitopsis mounceae,Northern Red Belt,https://inaturalist-open-data.s3.amazonaws.com/photos/467752881/medium.jpg,https://www.inaturalist.org/taxa/877361
Fomes excavatus,Tinder Polypore,https://static.inaturalist.org/photos/467918424/medium.jpeg,https://www.inaturalist.org/taxa/508778
Fomes excavatus,Tinder Polypore,https://inaturalist-open-data.s3.amazonaws.com/photos/467747371/medium.png,https://www.inaturalist.org/taxa/508778
Fomes excavatus,Tinder Polypore,https://inaturalist-open-data.s3.amazonaws.com/photos/467666514/medium.jpg,https://www.inaturalist.org/taxa/508778
Inonotus obliquus,chaga,https://inaturalist-open-data.s3.amazonaws.com/photos/467842060/medium.jpg,https://www.inaturalist.org/taxa/127021
Inonotus obliquus,chaga,https://inaturalist-open-data.s3.amazonaws.com/photos/467613374/medium.jpeg,https://www.inaturalist.org/taxa/127021
Inonotus obliquus,chaga,https://inaturalist-open-data.s3.amazonaws.com/photos/467613322/medium.jpeg,https://www.inaturalist.org/taxa/127021
Laetiporus sulphureus,chicken of the woods,https://inaturalist-open-data.s3.amazonaws.com/photos/467635847/medium.jpeg,https://www.inaturalist.org/taxa/53713
Laetiporus sulphureus,chicken of the woods,https://inaturalist-open-data.s3.amazonaws.com/photos/467682357/medium.jpg,https://www.inaturalist.org/taxa/53713
